genres,spotify_id,name,artist_id,artist,danceability,energy,speechiness,valence,file_path,main_genre,main_genre_encoded
jump_up_dnb,0Mexf06lzI5ocIamFffDzr,Useless,1KiNUGL3r0GgyLwqYCY1yV,Kanine,0.551,0.979,0.223,0.434,../mp3songs/Jump-Up_Drum_and_Bass/Useless.mp3,dnb,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
hard_techno,3DsC1Su6bhKLq4hbhBo37M,Baby You Bleeding Again,0pMuwBG7YGp4l8UaZqtzjo,BSLS,0.382,0.999,0.132,0.0916,../mp3songs/HARD_TECHNO/Baby You Bleeding Again.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
schranz,6H5Zw1IOmiVUU5LZoB8WsM,Touch Of Flame - Original Mix,68ImVNstbypsiht4x93RD6,Dstm,0.636,0.988,0.384,0.0936,../mp3songs/SCHRANZ_2024_/Touch Of Flame - Original Mix.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
techno,7C6DCd0L6BE74d4wnXDwBj,Darkness - Extended Mix,1KtGPlm0CUKG51IwTy2fC8,Endica,0.581,0.991,0.0648,0.203,../mp3songs/TECHNO_BUNKER/Darkness - Extended Mix.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
hardstyle,2VrQW0wCxDvfckwyn5vipP,Zombie - Original Mix,7IeovKzVkfcG9mIJGNzTcT,Ran-D,0.469,0.88,0.0935,0.0516,../mp3songs/Hardcore_Techno_Hardstyle/Zombie - Original Mix.mp3,techno,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
liquid_dnb,5Q8ksztHcfWHXBaeacy455,Codeswitch,"1zCwEEtlGUmFFAEvQ9jW6D, 41G8BJILf7hhwCit2mViIH","Audioscribe, Dylan Longworth",0.443,0.844,0.061,0.24,../mp3songs/Liquid_Drum_and_Bass/Codeswitch.mp3,dnb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
groove_techno,0avurD2oTDk7NdFrf6odjw,Cutis - Nicolas Vogler Remix,"3ycGLymeweoJhlFqG8Sf0A, 4d8pj7EDYvxiQK1RsmNmVu","EBD, Nicolas Vogler",0.69,0.962,0.0583,0.783,../mp3songs/Groove_Techno/Cutis - Nicolas Vogler Remix.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
groove_techno,2AaypKvFq7StljzrDqB8SC,Across The Harbour,219ftAqQ0v073JOvxg94BH,Steve RedHead,0.586,0.948,0.0568,0.558,../mp3songs/Groove_Techno/Across The Harbour.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
neurofunk_dnb,28au5d2aeLYC0MTiDpyyP2,Bagleys VHS,42EZt9LfgsaF0WHlDC3FoM,Spor,0.357,0.996,0.162,0.572,../mp3songs/Neurofunk_Drum_and_Bass/Bagleys VHS.mp3,dnb,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
schranz,0jaVdvBcmSGjCe4O2piUbb,Fireball,6VMRUmDTsDo1FbOxAEKA3Q,Alex TB,0.603,0.994,0.0642,0.368,../mp3songs/SCHRANZ_2024_/Fireball.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
liquid_dnb,7zeeaFEbI8qGY2TEhgnVGN,Found Magic,"1rd51IrbtX9DqoU0Zxu4TV, 4CBavfYzjrTvV7xCIq6WQu","DJ Marky, Makoto",0.434,0.968,0.0601,0.317,../mp3songs/Liquid_Drum_and_Bass/Found Magic.mp3,dnb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
hard_techno,1y7rOaaYcnKuhus3FU85lp,Toulouse,"1zSOxtMarFja6UNU9ZZWFu, 0kvKLw9mpWbVChHJ4Zl6ed","ANSBRO, Black/Plague",0.6,0.852,0.0644,0.135,../mp3songs/HARD_TECHNO/Toulouse.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
neurofunk_dnb,5utINKwnXh1drV2vI9cnze,Bombalaya - Blooom Remix,"3cMInYqk6yzf37zo8iznoz, 1VzKsrHWSH4Ij7dTWfPe7z, 3Xtaqhj8MygkfndSArQOOS","DNMO, Wolfy Lights, Blooom",0.416,0.95,0.314,0.442,../mp3songs/Neurofunk_Drum_and_Bass/Bombalaya - Blooom Remix.mp3,dnb,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
liquid_dnb,1Rr7e4iNxc8akfF0GU9j2o,Your Eyes,"78JjBYPpCRwGwaZff4qQrv, 3t3cVtcvwZIcBvIKGH2nP2","Saka, Amethyst",0.606,0.691,0.0956,0.18,../mp3songs/Liquid_Drum_and_Bass/Your Eyes.mp3,dnb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
90s_house,7aetPME2AVagb4pKlIVbHM,Rich in Paradise (Going Back to My Roots) - Vocal Remix,6HNYPrYPF6UzZhVFu2sLeh,FPI Project,0.692,0.938,0.0529,0.71,../mp3songs/90s_House_Classics/Rich in Paradise (Going Back to My Roots) - Vocal Remix.mp3,dance,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
tekkno,4bG8TzmNatN2W7pZU4tTZx,Nur das eine mal!,"6mhIOdvLrtQUlrACSqY3Yr, 0Wz4gSVp2FWHWGSLrsCWcD","HIGHTKK, Protekktic",0.535,0.887,0.0453,0.204,../mp3songs/tekkno/Nur das eine mal!.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
liquid_dnb,2o6XsFkFhLdJ4DSvphk0L4,Affirmations,"5i7IOgJzy3Ov00uEmvQVSM, 2v3z0sSTauju6TA1GMqiQj","Echo Brown, KinKai",0.646,0.968,0.0716,0.0887,../mp3songs/Liquid_Drum_and_Bass/Affirmations.mp3,dnb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
neurofunk_dnb,5PVdj6By6hlH7fY0rTBD9p,Hello,1m3Z3kHjeDDFzKNWqvTlYN,The Caracal Project,0.53,0.99,0.325,0.534,../mp3songs/Neurofunk_Drum_and_Bass/Hello.mp3,dnb,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
neurofunk_dnb,0vetKRU0ky6bwDGZcoTNE9,Wish You Were Dead,0jA09tU838A2JRveNgDSGa,Tom Finster,0.503,0.86,0.0786,0.0671,../mp3songs/Neurofunk_Drum_and_Bass/Wish You Were Dead.mp3,dnb,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
90s_house,5hVUbtzEMl8BLwZCG0ZMtD,"Showing Out (Get Fresh At the Weekend) - 7"" Version",4k7b3DWqBnYpobDWbNWLdM,Mel & Kim,0.703,0.838,0.0638,0.767,"../mp3songs/90s_House_Classics/Showing Out (Get Fresh At the Weekend) - 7"" Version.mp3",dance,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
hardstyle,5ZgA4F6aJ3nxKKYZq6KWco,Engeltje,"7jp5R1aY7kmwBYX3jIu9yk, 123hDJRbi4KtCdBaaKNHW6, 1naX4fxuRaDFlj9tGfIUZk","Jebroer, Paul Elstak, Dr Phunk",0.667,0.879,0.0394,0.351,../mp3songs/Hardcore_Techno_Hardstyle/Engeltje.mp3,techno,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
acid_techno,7lgdQfRT3013oGywUorbKH,Rave Luv,5lsC3H1vh9YSRQckyGv0Up,Ellen Allien,0.632,0.762,0.288,0.113,../mp3songs/ACID!_Best_Acid_Techno_Mix/Rave Luv.mp3,techno,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
jump_up_dnb,5TnPP8LK7UeHj1wJu8HLX6,Higher - VIP,4lQPqOsyeapLWAd2aXILFU,Mr Virgo,0.603,0.913,0.0855,0.697,../mp3songs/Jump-Up_Drum_and_Bass/Higher - VIP.mp3,dnb,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
tekkno,7odmxRlyKOt9tiuILmfF8q,Loco,"7MajXwmEaPsHi7DOJdMTQR, 1G3ww8c1Xg7Xj54BO9EN1J","Scheppertus, Tunnel Factory",0.653,0.941,0.0868,0.0393,../mp3songs/tekkno/Loco.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
liquid_dnb,1TVJyHKYbS05EOZPLEflio,Out Of My Head,"5iLVMo4mpzwh4PWrZuLGvZ, 7aPOfpCiVKzhW7dCj16ODr, 4yzrGOiPCcssfpKBT0bnHR","LMX, Kubiks, Nu-La",0.507,0.916,0.059,0.12,../mp3songs/Liquid_Drum_and_Bass/Out Of My Head.mp3,dnb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
schranz,5j5yJyj0fEbGuVAzzcCRin,Burning - Original Mix,7oNKKz05QhgsR1RI2rqDXs,Tilthammer,0.754,0.952,0.278,0.113,../mp3songs/SCHRANZ_2024_/Burning - Original Mix.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
hard_techno,51xCJIB6whswDNw6tdbF97,Welcome Back Devil,0ZdNs1hU6aAiaZxvFbtDWF,Shlømo,0.595,0.96,0.0675,0.0999,../mp3songs/HARD_TECHNO/Welcome Back Devil.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
hard_techno,3m0VHjr5wVGB1n6TbcG14Y,Mortal Combat,1uF27HWY7mPPtfpoUZ14Ep,Infeed,0.656,0.971,0.11,0.292,../mp3songs/HARD_TECHNO/Mortal Combat.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
hard_techno,2BAr1qBoX4RGYl8hjrW8RL,She Is Corrupted,6fjhNhp9IoeiZpEXq9AT2S,Nico Moreno,0.74,0.956,0.133,0.0364,../mp3songs/HARD_TECHNO/She Is Corrupted.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
techno,6dyfsauAoa5qN0tj9JKamE,My Gasoline,"0RMeG9M8QFzss9bAbq99KA, 7akxhVMmCpSDFw152XqCu6","Maddix, Fēlēs",0.65,0.983,0.0618,0.464,../mp3songs/TECHNO_BUNKER/My Gasoline.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
tekkno,1fXqV8Eyf3hjtmKlmo11MQ,Clean,"4OWNHq6tL2TBSQgyzeu2Tw, 0yS6HixAAkOQLxPanqT8am","Sitte, MODUS STEIFHIGH",0.645,0.788,0.181,0.365,../mp3songs/tekkno/Clean.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
techno,4gD1qMyIjDyz7Te8nlQEji,Breathe,5Ho1vKl1Uz8bJlk4vbmvmf,Amelie Lens,0.528,0.848,0.0317,0.245,../mp3songs/TECHNO_BUNKER/Breathe.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
hard_techno,3dQ0NDk0keLrFjNJo77MJr,SCREECHMASTER,4NzdIkiweEHJgVdg8q2Ruk,Basswell,0.824,0.992,0.328,0.0348,../mp3songs/HARD_TECHNO/SCREECHMASTER.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
tekkno,3gTmCXQkmhze8fCiY2fdqo,Ganz Normal,66GQqVO1U8zhksXsdgTfhD,Thekke,0.83,0.863,0.219,0.246,../mp3songs/tekkno/Ganz Normal.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
acid_techno,3uivjbc9k3Wt0LrsRHRHst,Run for Cover,4x3FMOF0ulR4kFBdanXmNV,Andrej Meyer,0.576,0.93,0.0442,0.55,../mp3songs/ACID!_Best_Acid_Techno_Mix/Run for Cover.mp3,techno,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
hard_techno,1N35WIY1Cv1stMMZJ70Y85,An Era Of Absurdity - 999999999 Remix,"6Unmr1mmDxRqZY7jkSQOcg, 6uD2LjPHUjxrpax0se17Nc","Snts, 999999999",0.378,0.994,0.0505,0.184,../mp3songs/HARD_TECHNO/An Era Of Absurdity - 999999999 Remix.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
groove_techno,4D8PU73TQrM9XffOPwpjRl,São Paulo,7kuKQ3YGpserZme7CtZPdI,Sonic Rain,0.733,0.941,0.0575,0.876,../mp3songs/Groove_Techno/São Paulo.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
schranz,0di4ZhdxhhbMIPa5agUABX,Waste In The Sound,6rBb9rb9vfdKIt6YhIYRjw,Monster Mush,0.513,0.998,0.0897,0.26,../mp3songs/SCHRANZ_2024_/Waste In The Sound.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
acid_techno,2omtwYPfscqQc2XjOSmJOy,Ego Is The Enemy,4iHnLagnnmgiIwMSm1wuTq,Giorgia Angiuli,0.575,0.979,0.069,0.155,../mp3songs/ACID!_Best_Acid_Techno_Mix/Ego Is The Enemy.mp3,techno,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acid_techno,1Ivo2M3DBfweLv6k6x4aBZ,Gravestone,6D3hUyMsSg5p0Tr8N1sTp7,Lex Digital,0.268,0.975,0.068,0.0641,../mp3songs/ACID!_Best_Acid_Techno_Mix/Gravestone.mp3,techno,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
schranz,69LVEbqB4AuwuBll4fYJZ8,In My Head,2Yt0k7UqBOAjoE92UfS2Bi,F-17,0.462,0.999,0.115,0.31,../mp3songs/SCHRANZ_2024_/In My Head.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
tekkno,4aLmMCJ4vSPoE6KB2vm4m3,Ey Bitch,67Rfpb4pilqRGbDNl8rEGn,Takti & Caret,0.694,0.765,0.227,0.66,../mp3songs/tekkno/Ey Bitch.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
90s_house,4lgDZcisljVlutaku19eqV,David Morales - Needin U - Radio Edit,"6CwQfN34JdGHfo0A752Lts, 0c3f0X32um603awrTfc3mD","David Morales, The Face",0.596,0.979,0.0423,0.693,../mp3songs/90s_House_Classics/David Morales - Needin U - Radio Edit.mp3,dance,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
hard_techno,4q6G9mmjbveIt3kvPgaJL0,Fusillade,"1soUF8xmV5ij7Zi5ykNGr6, 2w2F0FNIB80MQPxICKbjqf","USH, SLVL",0.591,0.971,0.0789,0.035,../mp3songs/HARD_TECHNO/Fusillade.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
hard_techno,1pcDlqCeLHpxK6xVdv6ONZ,Thalassophobia,0bMxsn0N2APrVga72XmQJ4,APHØTIC,0.586,0.994,0.0609,0.379,../mp3songs/HARD_TECHNO/Thalassophobia.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
acid_techno,1biKqdOsiIo2JekJ8UPX1x,How You Move - Edit,1lJhME1ZpzsEa5M0wW6Mso,Charlotte de Witte,0.704,0.994,0.0671,0.287,../mp3songs/ACID!_Best_Acid_Techno_Mix/How You Move - Edit.mp3,techno,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
liquid_dnb,3bqxE1Qt9jaEENypEK8cMx,Oil On Water,6Hb29cwvtPMH6wThCBqGQ5,pyxis,0.466,0.83,0.0393,0.036,../mp3songs/Liquid_Drum_and_Bass/Oil On Water.mp3,dnb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
hard_techno,7n9rePdJHPQ6QFgpjTPEj6,Attack,4eFbq5PZgW7YbtA65PP4wS,Alignment,0.639,0.975,0.0732,0.0302,../mp3songs/HARD_TECHNO/Attack.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
neurofunk_dnb,37tWPZAM7MJwB3l4bbuLG8,Sentient - Joe Ford Remix,"4Pn0zmbERg32YIOjl2nOQf, 32rwroseSEZ7dEwooAUikF","Droptek, Joe Ford",0.713,0.897,0.17,0.666,../mp3songs/Neurofunk_Drum_and_Bass/Sentient - Joe Ford Remix.mp3,dnb,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
jump_up_dnb,5TbygwHmOOd5IFimaprO9j,Voice Notes,5Pexua3J92rqhQvEqTcRKP,Voltage,0.807,0.989,0.284,0.425,../mp3songs/Jump-Up_Drum_and_Bass/Voice Notes.mp3,dnb,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
tekkno,0SjkpbOjhVUDWhqrZO8f8p,Problems,2tIywVkMi4Kz3FIZxBvqD9,Kannadiss,0.536,0.969,0.187,0.541,../mp3songs/tekkno/Problems.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
hard_techno,5VLgLQRlu9A1QguMclcI1a,Time Machine,"4gF60Mys5KoWdQrf0bhRWq, 6wBqeigBUFAIAnPuBQl071","Luca Agnelli, PISAPIA (IT)",0.581,0.996,0.0632,0.177,../mp3songs/HARD_TECHNO/Time Machine.mp3,techno,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
groove_techno,7uFbp8fqCLTmLy0fZB2W6S,Love Blaster,3lJoRDjlvFXZLvSRVeM6m8,Chlär,0.618,0.986,0.0598,0.288,../mp3songs/Groove_Techno/Love Blaster.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
liquid_dnb,2jtlU6H5C9WFB0x72f6YGo,Touch,"05lF0DUkLJqiW5o70SScyR, 1MW1wqNtF2hNgsPfGDhrHB","Hybrid Minds, Catching Cairo",0.582,0.821,0.0497,0.0373,../mp3songs/Liquid_Drum_and_Bass/Touch.mp3,dnb,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
acid_techno,4tPaHroZ18mIOZ3LeiEalV,O.T.F,5bwTl3iyhj2j9hXlMTAZzM,DJ Jordan,0.732,0.969,0.0577,0.149,../mp3songs/ACID!_Best_Acid_Techno_Mix/O.T.F.mp3,techno,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neurofunk_dnb,7735jZeQprfP73oz4pAaLb,Black Bloc,5bNvSO3b75SGJrx0kOt996,Justin Hawkes,0.365,0.8,0.0589,0.034,../mp3songs/Neurofunk_Drum_and_Bass/Black Bloc.mp3,dnb,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
jump_up_dnb,4BfqV9fVYGTmJbPTtkH5em,Too Bad - Remix,7IXFGPfOJUy0UwHnXDTWCe,Taxman,0.528,0.988,0.33,0.581,../mp3songs/Jump-Up_Drum_and_Bass/Too Bad - Remix.mp3,dnb,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
hardstyle,2W7YaD8t0WoW3xPqwMNDrO,In My Head - Radio Edit,2u4C7ImRPyTV4J8RMMcrqa,Kit Hype,0.6,0.95,0.158,0.27,../mp3songs/Hardcore_Techno_Hardstyle/In My Head - Radio Edit.mp3,techno,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
90s_house,0ZBPWoRkfZ8SLcDJaFnkUu,Passion - Naked Edit,6wbsiIvg0rsbL9JlLAH9GA,Gat Decor,0.71,0.625,0.0414,0.183,../mp3songs/90s_House_Classics/Passion - Naked Edit.mp3,dance,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
tekkno,5qhYIcEl9Off0G87Fndhbw,FRIDAY MODE,45AkWRnBt1IAMLvt8ecgRm,Rütekker,0.722,0.92,0.247,0.29,../mp3songs/tekkno/FRIDAY MODE.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
groove_techno,5fAAXWqlDR3bp0JFlzIO1u,All I Wanna Do,"0BbYgvkms91JFjy99lMNnr, 7D5uEg2a7yzc5AsGyGr73O","Lidez, RUL3",0.603,0.948,0.142,0.24,../mp3songs/Groove_Techno/All I Wanna Do.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
hardstyle,0bwI6R3Nvqahxh9uNPei79,Invincible,"1RsU9zuGACUb1NGShiFpcP, 77faXTf6wXs3L2CVol0c8C","Deadly Guns, E-Force",0.675,0.97,0.119,0.155,../mp3songs/Hardcore_Techno_Hardstyle/Invincible.mp3,techno,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
90s_house,5suP41ovdCSHsXZnTFALzX,Hey Music Lover,2PvqyOwynRF4BveaU6IA7S,S'Express,0.673,0.862,0.069,0.854,../mp3songs/90s_House_Classics/Hey Music Lover.mp3,dance,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
groove_techno,1uGhzrBuTrRDhJKtESEJg9,Papabinghi,0h3LDqJWxHfdM76kVnfGcY,CRAVO,0.649,0.972,0.0613,0.606,../mp3songs/Groove_Techno/Papabinghi.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
hardstyle,2xnbHOG0L6jLXydK733OpC,GFU,"12XFFT7c5VUYdNzJODHOLn, 3ipAwQsSahvSht3Bb8SpLs","Chaotic Hostility, DRS",0.573,0.677,0.0867,0.0402,../mp3songs/Hardcore_Techno_Hardstyle/GFU.mp3,techno,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
jump_up_dnb,7j0xlUZ2C8eAgJ0DYTF5MX,Work for Nothing,342v8x9GiDdRdWOwcrzY1h,Decimal Bass,0.454,0.937,0.0915,0.389,../mp3songs/Jump-Up_Drum_and_Bass/Work for Nothing.mp3,dnb,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
schranz,1uz5wsBNdL1jQ6P2BKPBVl,Nostalgia,3V3sC6ECD51H0rgsgxGfSZ,PSP,0.536,0.995,0.2,0.169,../mp3songs/SCHRANZ_2024_/Nostalgia.mp3,techno,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
